,date,active case
0,"Feb 15, 2020",0
1,"Feb 16, 2020",0
2,"Feb 17, 2020",0
3,"Feb 18, 2020",0
4,"Feb 19, 2020",0
5,"Feb 20, 2020",0
6,"Feb 21, 2020",0
7,"Feb 22, 2020",0
8,"Feb 23, 2020",0
9,"Feb 24, 2020",0
10,"Feb 25, 2020",0
11,"Feb 26, 2020",0
12,"Feb 27, 2020",0
13,"Feb 28, 2020",0
14,"Feb 29, 2020",0
15,"Mar 01, 2020",0
16,"Mar 02, 2020",3
17,"Mar 03, 2020",4
18,"Mar 04, 2020",26
19,"Mar 05, 2020",27
20,"Mar 06, 2020",28
21,"Mar 07, 2020",31
22,"Mar 08, 2020",37
23,"Mar 09, 2020",43
24,"Mar 10, 2020",58
25,"Mar 11, 2020",58
26,"Mar 12, 2020",69
27,"Mar 13, 2020",70
28,"Mar 14, 2020",88
29,"Mar 15, 2020",99
30,"Mar 16, 2020",114
31,"Mar 17, 2020",126
32,"Mar 18, 2020",152
33,"Mar 19, 2020",170
34,"Mar 20, 2020",221
35,"Mar 21, 2020",304
36,"Mar 22, 2020",364
37,"Mar 23, 2020",454
38,"Mar 24, 2020",485
39,"Mar 25, 2020",601
40,"Mar 26, 2020",661
41,"Mar 27, 2020",793
42,"Mar 28, 2020",878
43,"Mar 29, 2020",901
44,"Mar 30, 2020",1116
45,"Mar 31, 2020",1238
46,"Apr 01, 2020",1791
47,"Apr 02, 2020",2279
48,"Apr 03, 2020",2780
49,"Apr 04, 2020",3259
50,"Apr 05, 2020",3842
51,"Apr 06, 2020",4266
52,"Apr 07, 2020",4722
53,"Apr 08, 2020",5231
54,"Apr 09, 2020",5862
55,"Apr 10, 2020",6576
56,"Apr 11, 2020",7188
57,"Apr 12, 2020",7793
58,"Apr 13, 2020",8913
59,"Apr 14, 2020",9734
60,"Apr 15, 2020",10439
61,"Apr 16, 2020",11213
62,"Apr 17, 2020",11824
63,"Apr 18, 2020",13379
64,"Apr 19, 2020",14200
65,"Apr 20, 2020",14672
66,"Apr 21, 2020",15458
67,"Apr 22, 2020",16317
68,"Apr 23, 2020",17304
69,"Apr 24, 2020",18169
70,"Apr 25, 2020",19517
71,"Apr 26, 2020",20484
72,"Apr 27, 2020",21373
73,"Apr 28, 2020",22566
74,"Apr 29, 2020",23542
75,"Apr 30, 2020",24636
76,"May 01, 2020",26020
77,"May 02, 2020",27547
78,"May 03, 2020",29328
79,"May 04, 2020",32011
80,"May 05, 2020",33550
81,"May 06, 2020",35855
82,"May 07, 2020",37667
83,"May 08, 2020",39803
84,"May 09, 2020",41384
85,"May 10, 2020",43955
86,"May 11, 2020",45899
87,"May 12, 2020",47429
88,"May 13, 2020",49073
89,"May 14, 2020",51346
90,"May 15, 2020",52738
91,"May 16, 2020",53515
92,"May 17, 2020",55838
93,"May 18, 2020",57896
94,"May 19, 2020",60819
95,"May 20, 2020",63125
96,"May 21, 2020",66040
97,"May 22, 2020",69192
98,"May 23, 2020",73116
99,"May 24, 2020",76764
100,"May 25, 2020",80013
101,"May 26, 2020",82110
102,"May 27, 2020",85737
103,"May 28, 2020",89687
104,"May 29, 2020",85811
105,"May 30, 2020",89624
106,"May 31, 2020",93261
